x,y,z,x,y,z
0.07408796,0.5004191,-0.012959866,0.07408796,0.5004191,-0.012959866
0.07273133,0.5051672,0.009119746,0.07273133,0.5051672,0.009119746
0.062430788,0.51904404,-0.022538267,0.062430788,0.51904404,-0.022538267
0.061111674,0.5251986,0.0046736784,0.061111674,0.5251986,0.0046736784
0.059089337,0.36186478,0.01723109,0.059089337,0.36186478,0.01723109
0.060311306,0.38017133,0.0123066055,0.060311306,0.38017133,0.0123066055
0.051386666,0.34111717,0.03638234,0.051386666,0.34111717,0.03638234
0.058012996,0.345924,0.019119313,0.058012996,0.345924,0.019119313
0.0446256,0.53316087,-0.029122991,0.0446256,0.53316087,-0.029122991
0.043653924,0.54134244,0.0025621827,0.043653924,0.54134244,0.0025621827
0.066653475,0.45684615,-0.048526347,0.066653475,0.45684615,-0.048526347
0.06964907,0.47512895,-0.042621456,0.06964907,0.47512895,-0.042621456
0.07642518,0.46487588,-0.025606519,0.07642518,0.46487588,-0.025606519
0.073618405,0.44959813,-0.03293106,0.073618405,0.44959813,-0.03293106
0.056079436,0.46412385,-0.064913735,0.056079436,0.46412385,-0.064913735
0.058435146,0.48578376,-0.05861617,0.058435146,0.48578376,-0.05861617
0.05397353,0.4024503,-0.040214185,0.05397353,0.4024503,-0.040214185
0.047378395,0.3863012,-0.031832617,0.047378395,0.3863012,-0.031832617
0.038515575,0.38664162,-0.04361771,0.038515575,0.38664162,-0.04361771
0.044447694,0.40265876,-0.054938484,0.044447694,0.40265876,-0.054938484
0.05356604,0.4631483,0.09179516,0.05356604,0.4631483,0.09179516
0.0493814,0.45808563,0.09660394,0.0493814,0.45808563,0.09660394
0.052825324,0.45414653,0.09109838,0.052825324,0.45414653,0.09109838
0.057281457,0.45692748,0.084960885,0.057281457,0.45692748,0.084960885
0.061044227,0.45912936,0.075089954,0.061044227,0.45912936,0.075089954
0.065119945,0.4612403,0.06332,0.065119945,0.4612403,0.06332
0.07461121,0.46909016,0.039289404,0.07461121,0.46909016,0.039289404
0.07848544,0.47426367,0.025649663,0.07848544,0.47426367,0.025649663
0.08067122,0.4724294,0.0002998122,0.08067122,0.4724294,0.0002998122
0.080264285,0.47426045,0.014281453,0.080264285,0.47426045,0.014281453
0.078338645,0.45336097,-0.015996246,0.078338645,0.45336097,-0.015996246
0.075970404,0.44376183,-0.020444319,0.075970404,0.44376183,-0.020444319
0.059329648,0.38848436,-0.0041983784,0.059329648,0.38848436,-0.0041983784
0.05618335,0.36705592,-0.00038461288,0.05618335,0.36705592,-0.00038461288
0.0497266,0.3689902,-0.014239245,0.0497266,0.3689902,-0.014239245
0.053571343,0.38763306,-0.019070962,0.053571343,0.38763306,-0.019070962
0.033796616,0.37018815,-0.035416692,0.033796616,0.37018815,-0.035416692
0.04174478,0.36982343,-0.025404867,0.04174478,0.36982343,-0.025404867
0.05483348,0.3344668,0.00088642794,0.05483348,0.3344668,0.00088642794
0.055356197,0.32090896,-0.0029594,0.055356197,0.32090896,-0.0029594
0.050574556,0.32344422,-0.01802077,0.050574556,0.32344422,-0.01802077
0.04886039,0.3362707,-0.013580268,0.04886039,0.3362707,-0.013580268
0.04344563,0.32315883,-0.030632457,0.04344563,0.32315883,-0.030632457
0.033496942,0.32221794,-0.039388865,0.033496942,0.32221794,-0.039388865
0.032243434,0.33702156,-0.03535169,0.032243434,0.33702156,-0.03535169
0.040725153,0.33735013,-0.026182517,0.040725153,0.33735013,-0.026182517
0.020829657,0.30309743,0.05908694,0.020829657,0.30309743,0.05908694
0.02205181,0.2932046,0.055493843,0.02205181,0.2932046,0.055493843
0.03369261,0.29622197,0.04906652,0.03369261,0.29622197,0.04906652
0.031028409,0.3066177,0.051904064,0.031028409,0.3066177,0.051904064
0.05792935,0.3099061,-0.008290788,0.05792935,0.3099061,-0.008290788
0.054184023,0.31372344,-0.023880424,0.054184023,0.31372344,-0.023880424
0.060653836,0.40278432,-0.025556121,0.060653836,0.40278432,-0.025556121
0.06454646,0.40571675,-0.013911106,0.06454646,0.40571675,-0.013911106
0.047426358,0.31285745,-0.036882274,0.047426358,0.31285745,-0.036882274
0.04056683,0.35263622,-0.023710972,0.04056683,0.35263622,-0.023710972
0.04849354,0.35107583,-0.012631159,0.04849354,0.35107583,-0.012631159
0.023351377,0.3710254,-0.043629587,0.023351377,0.3710254,-0.043629587
0.027190492,0.3867876,-0.053931892,0.027190492,0.3867876,-0.053931892
0.02168956,0.42608446,0.107825845,0.02168956,0.42608446,0.107825845
0.024866717,0.44069293,0.10068941,0.024866717,0.44069293,0.10068941
0.025500285,0.444447,0.099977314,0.025500285,0.444447,0.099977314
0.021619981,0.44528592,0.099193394,0.021619981,0.44528592,0.099193394
0.020439336,0.44230592,0.10019372,0.020439336,0.44230592,0.10019372
0.013895335,0.4829018,0.10977941,0.013895335,0.4829018,0.10977941
0.012108773,0.46604308,0.11128801,0.012108773,0.46604308,0.11128801
0.025169378,0.46991405,0.10999469,0.025169378,0.46991405,0.10999469
